feature,importance_mean,importance_std
age,11.099023786994257,0.554781299405732
water_binder_ratio,5.9639874508882835,0.3817160947574868
water_cement_ratio,3.0047750826746156,0.3718281190548218
water_total_mix_ratio,1.4960375502157774,0.14280582268223124
aggregate_binder_ratio,1.271305349332541,0.15031050082129638
cement,0.600118286248464,0.13998576819800157
fly_ash_binder_ratio,0.26409427951330383,0.054577932309749874
fine_aggregate,0.26379519088907,0.05599216996671139
superplasticizer,0.20145418243049398,0.053192558844616614
coarse_aggregate,0.19591246061052758,0.04050206543378242
fly_ash,0.18751320373090116,0.05061102777604763
slag_binder_ratio,0.15423068273145354,0.033118011329856395
blast_furnace_slag,0.15150444968004,0.0287203429176045
cement_binder_ratio,0.13960930548460132,0.03344808285492888
superplasticizer_binder_ratio,0.134983528320209,0.03748307701293697
water,-0.013914414193416347,0.06327521350405403
