stage,mae,rmse,r2,mae_std,rmse_std,r2_std,explained_variance,mean_residual,max_absolute_error
baseline_original_8_features_default_gbm,3.9108662542494,5.295370960228461,0.888796861748044,0.28004198079226866,0.39975856507117924,0.01844824406103056,,,
engineered_16_ratios_default_gbm,3.4767921482404445,4.820496100281266,0.908489493297474,0.16328740821180132,0.21326689896882314,0.006890299845810275,,,
engineered_16_ratios_tuned_gbm,2.90720243926319,4.312379938734159,0.9267389248737643,0.13068012446441463,0.23652633188114566,0.006944480214553517,,,
engineered_16_ratios_tuned_random_forest,3.471598612714957,4.984606475907489,0.9023331515705136,0.1372016326334497,0.20888290669791623,0.003587884725003059,,,
final_test_set_result,2.701401016486764,4.195361168609051,0.9410003792951459,,,,0.9426587789371669,0.7033789093872014,26.511130223100956
