feature,importance
age,0.3656060135395909
water_binder_ratio,0.33111063760818055
water_cement_ratio,0.08872865311911116
aggregate_binder_ratio,0.06748315617041677
cement,0.02834498042793668
water_total_mix_ratio,0.023544912768374057
fly_ash_binder_ratio,0.015153786946041758
fine_aggregate,0.011381564127087225
cement_binder_ratio,0.011253088370313895
water,0.010443757842387375
coarse_aggregate,0.010373259217641383
slag_binder_ratio,0.008147868965316054
superplasticizer,0.00806175119096657
blast_furnace_slag,0.007657364922644339
superplasticizer_binder_ratio,0.006465046528393812
fly_ash,0.006244158255597558
